句子,句型,人工判断
倒计时仍在他睁开的眼睛前显现,未知句型,
数字很细,未知句型,
但很亮,未知句型,
发出一种烧灼的白光,未知句型,
1185:11:34、1185:11:33、1185:11:32、1185:11:31……,未知句型,
汪淼转转头,未知句型,
看到了卧室中模糊的一切,未知句型,
确认自己已经醒来,未知句型,
倒计时没有消失,否定句,
他闭上双眼,未知句型,
倒计时仍显现在他那完全黑暗的视野中,未知句型,
像黑天鹅绒上发亮的水银,未知句型,
他再次睁眼,未知句型,
并揉揉眼睛,未知句型,
倒计时仍没有消失,否定句,
不管他的视线如何移动,否定句,
那一串数字稳稳地占据着视野的正中央,未知句型,
一股莫名的恐惧使汪淼猛地坐起来,未知句型,
倒计时死死跟随着他,未知句型,
他跳下床,未知句型,
冲到窗前,未知句型,
扯开窗帘,未知句型,
推开窗,未知句型,
外面沉睡中的城市仍然灯光灿烂,未知句型,
倒计时就在这广阔的背景前显现着,未知句型,
像电影画面上的字幕,未知句型,
一时间,未知句型,
汪淼感到自己窒息了,未知句型,
不由发出一声低沉的惊叫,否定句,
面对被惊醒的妻子恐慌的探问,被字句,
他努力使自己镇定下来,未知句型,
安慰妻子说没什么,未知句型,
又躺回床上,未知句型,
闭上眼睛,未知句型,
在幽灵倒计时的照耀下艰难地度过了剩下的夜晚,未知句型,
清晨起床后,未知句型,
汪淼努力使自己在家人面前显得正常些,未知句型,
但妻子还是看出了异样,肯定句,
问他的眼睛怎么了,未知句型,
是不是看不清东西,肯定句,
早饭后,未知句型,
汪淼向纳米中心请了假,未知句型,
开车去医院,未知句型,
一路上,未知句型,
幽灵倒计时无情地横在他眼中的现实世界前面,未知句型,
这东西会自动调节自己的亮度,未知句型,
在不同的背景上都清晰地显现出来,否定句,
汪淼甚至盯着初升的太阳,未知句型,
试图使倒计时被强光暂时隐没一会儿,被字句,
但没有用,否定句,
那串魔鬼数字竟在日轮上显现出来,未知句型,
这时它不是增加亮度,肯定句,
而是变成黑色,肯定句,
更加恐怖,未知句型,
同仁医院很难挂号,未知句型,
汪淼直接找了妻子的一个同学,未知句型,
一位著名的眼科专家,未知句型,
他没有说病情,否定句,
而是先让医生检查自己的眼睛,肯定句,
仔细检查了汪淼的双眼后,未知句型,
医生告诉他没有发现什么病变,否定句,
眼睛一切正常,未知句型,
“我的眼睛总是看见一个东西,肯定句,
不管你看哪里,否定句,
这东西都在,未知句型,
”汪淼说,未知句型,
同时,未知句型,
那串数字就横在医生脸前,未知句型,
1175:11:34、1175:11:33、1175:11:32、1175:11:31……,未知句型,
“飞蚊症,未知句型,
”医生说,未知句型,
同时抽出处方签开始写,未知句型,
“我们这年纪的常见眼病,未知句型,
晶状体混浊,未知句型,
不太好治,否定句,
但没什么要紧的,未知句型,
开些碘药水和维 D 吧,未知句型,
也许能吸收掉,未知句型,
但希望不大,否定句,
不过,否定句,
这确实没什么要紧的,肯定句,
只要你习惯了忽略视野里的那些杂物,未知句型,
对视力没什么影响,未知句型,
”,未知句型,
“你说的飞蚊症,未知句型,
那些……东西看上去是什么样子,肯定句,
”,未知句型,
“不规则,否定句,
因人而易,未知句型,
有时是小黑点儿,肯定句,
有时像蝌蚪,未知句型,
”,未知句型,
“如果看到的是一串数字呢,肯定句,
”,未知句型,
医生写处方的笔停了,未知句型,
“你看到一串数字,未知句型,
”,未知句型,
“是的,肯定句,
横在视野中心,未知句型,
”,未知句型,
医生推开纸和笔,未知句型,
关切地看着他,未知句型,
“一进来我就看出,未知句型,
你过度劳累,未知句型,
上次同学聚会,未知句型,
李瑶向我提起你,未知句型,
说你的工作压力很大,未知句型,
到我们这岁数,未知句型,
应该注意了,未知句型,
健康可透支不起了,否定句,
”,未知句型,
“你是说,肯定句,
我这是精神因素所致,肯定句,
”,未知句型,
医生点点头,未知句型,
“要是一般的病人,肯定句,
我就建议他去精神科了,未知句型,
其实没必要,未知句型,
没什么要紧的,未知句型,
就是太累了,肯定句,
休息几天吧,未知句型,
去度几天假,未知句型,
和李瑶、孩子,未知句型,
叫什么来着,未知句型,
豆豆吧,未知句型,
一起去,未知句型,
放心,未知句型,
很快会恢复的,未知句型,
”,未知句型,
1175:10:02、1175:10:01、1175:10:00,未知句型,
1175:09:59……,未知句型,
“我告诉你我看到的是什么,肯定句,
一个倒计时,未知句型,
一秒一秒,未知句型,
在精确地走,未知句型,
这会是精神因素,肯定句,
”,未知句型,
医生宽容地笑笑,未知句型,
“想知道精神因素能对视力影响到什么程度吗,疑问句,对
上个月我们收治了一个女孩儿,未知句型,
十五六岁吧,未知句型,
她在教室里突然间什么都看不见了,否定句,
完全失明,未知句型,
可经过所有检查,未知句型,
眼睛在生理上完全正常,未知句型,
后来精神科的专家对她进行了一个月的心理治疗,未知句型,
又是突然间,肯定句,
她的眼睛恢复到正常的视力,未知句型,
”,未知句型,
汪淼知道在这里是浪费时间,肯定句,
他起身要走,未知句型,
最后说：“好吧,未知句型,
不管我的眼睛,否定句,
我只有一个问题想请教你：有什么外力,未知句型,
能通过远程作用使人看到什么吗,疑问句,对
”,未知句型,
医生想了想说：“有,未知句型,
我前一阵儿参加神舟19 号的医疗组,未知句型,
曾有航天员报告说,未知句型,
他们在舱外工作时看到了并不存在的闪光,否定句,
以前国际空间站上的航天员报告过类似情况,未知句型,
都是在太阳活动剧烈的时候,肯定句,
太空中的高能粒子打到视网膜上,未知句型,
人就看到闪耀,未知句型,
不过你说的看到数字,否定句,
还是倒计时,肯定句,
绝无可能是这个原因,肯定句,
”汪淼恍惚地走出医院,未知句型,
倒计时就在他眼前,未知句型,
他似乎在跟着它走,未知句型,
跟着一个死死缠着他的鬼魂,未知句型,
他买了一副墨镜戴上,未知句型,
仅仅是为了不让别人看到自己梦游般迷离的眼神,肯定句,
汪淼走进纳米中心的主体实验室,未知句型,
进门之前没忘记把墨镜摘下来,把字句,对
尽管这样,未知句型,
遇见他的同事都对他的精神状态露出担心的神色,未知句型,
在实验大厅中央,未知句型,
汪淼看到反应黑箱仍在运行中,未知句型,
这台巨型设备的主体是汇集了大量管道的一个球体,肯定句,
代号叫“飞刃”的超强度纳米材料已经生产出来,未知句型,
但是用分子建筑术制造的,肯定句,
就是用分子探针将材料分子像砌砖那样一个个垒砌起来,肯定句,
这样的工艺要耗费大量的资源,未知句型,
那些产品可以说是世界上最贵重的珍宝了,肯定句,
根本无法进行量产,未知句型,
实验室现在做的,未知句型,
就是试图通过一种催化反应来代替分子建筑法,肯定句,
使巨量的分子在反应中同时完成筑砌,未知句型,
试验就是在反应黑箱中进行的,肯定句,
这台设备可以在数量庞大的成分组合上进行反应试验,肯定句,
这样数量的组合如果用传统的人工操作可能上百年也做不完,否定句,
但在反应黑箱中可以快速自动进行,肯定句,
同时,未知句型,
这是一种集现实反应与数字模拟一体化的设备,肯定句,
当合成进行到一定程度时,未知句型,
计算机会根据反应的阶段性结果建立起合成反应的数字模型,未知句型,
将剩下的反应进程用数字模拟代替,未知句型,
大大提高了实验效率,未知句型,
实验主任见到汪淼后,未知句型,
急匆匆走过来,未知句型,
开始汇报反应黑箱刚出现的一系列故障,未知句型,
这是近来汪淼上班就遇到的事,肯定句,
现在,未知句型,
反应黑箱连续运行了一年多,未知句型,
许多传感器灵敏度下降,未知句型,
误差增大,未知句型,
急需停机维护,未知句型,
但身为项目首席科学家的汪淼坚持做完第三批合成组合再停机,未知句型,
工程师们只好在反应黑箱上加入越来越多的补偿修正装置,未知句型,
到现在这些装置本身也需要补偿修正,未知句型,
搞得整个项目组疲惫不堪,否定句,
但主任小心翼翼地没提停机和暂停试验的事,未知句型,
怕汪淼又像上几次那样大发雷霆,未知句型,
他只是把困难都摆出来,肯定句,
意思也很明白,未知句型,
汪淼抬头看看反应黑箱,未知句型,
觉得它像一个子宫,未知句型,
工程师们正围着它忙碌,未知句型,
艰难地维持着正常的运行,未知句型,
在这场景前面,未知句型,
叠现着幽灵倒计时,未知句型,
1174:21:11、1174:21:10、1174:21:09、1174:21:08……,未知句型,
停下来试试,未知句型,
汪淼脑海中突然响起申玉菲的话,未知句型,
“全面更新外围传感系统需要多长时间,未知句型,
”他问,未知句型,
“四五天吧,未知句型,
”实验主任突然看到了希望,未知句型,
赶紧加一句,未知句型,
“快些干,未知句型,
三天就行,未知句型,
汪总,未知句型,
我保证,未知句型,
”,未知句型,
我并没有屈服,否定句,
设备确实需要维修,肯定句,
因而试验必须暂停,未知句型,
与别的无关,未知句型,
汪淼在心里对自己说,未知句型,
然后转向主任,未知句型,
透过倒计时的数字看着他,未知句型,
“把试验停下来吧,把字句,对
停机维修,未知句型,
就照你说的时间表,未知句型,
”,未知句型,
“好的汪总,未知句型,
我会很快给你一份更新方案,未知句型,
下午就能停机了,未知句型,
”主任兴奋地说,未知句型,
“现在就停吧,未知句型,
”,未知句型,
主任像不认识似的看着汪淼,否定句,
但旋即恢复了兴奋状态,未知句型,
好像生怕失掉这个机会似的,未知句型,
他拿起电话下了停机命令,未知句型,
项目组里那些疲惫的研究员和工程师一下子都兴奋起来,未知句型,
开始按程序扳动上百个复杂的开关,未知句型,
众多的监控屏一个接一个地黑了下来,未知句型,
最后,未知句型,
主监控屏上显示了停机状态,未知句型,
几乎与此同时,未知句型,
汪淼眼前的倒计时停止了走动,未知句型,
数字固定为1174:20:35,未知句型,
几秒钟后,未知句型,
数字闪动了几下,未知句型,
消失了,未知句型,
